Assembly Only	Total	Error %	QV
58	75398	0.0000	46.1
161	25623	0.0002	36.9
0	125653	0.0000	inf
0	25754	0.0000	inf
0	23047	0.0000	inf
30	28668	0.0000	44.7
136	17741	0.0002	36.1
0	35080	0.0000	inf
0	28355	0.0000	inf
58	51958	0.0000	44.4
46	42496	0.0000	44.6
54	41318	0.0000	43.7
15	20873	0.0000	46.3
75	24028	0.0001	40.0
108	14729	0.0002	36.2
23	35251	0.0000	46.8
0	21374	0.0000	inf
30	23503	0.0000	43.9
41	35494	0.0000	44.3
174	52389	0.0001	39.7
0	46820	0.0000	inf
0	25464	0.0000	inf
144	69256	0.0001	41.7
89	53896	0.0001	42.7
4	5393	0.0000	46.2
30	59206	0.0000	47.9
65	38689	0.0001	42.7
58	25978	0.0001	41.4
120	82833	0.0000	43.3
212	134652	0.0001	42.9
56	47680	0.0000	44.2
30	21639	0.0000	43.5
148	71995	0.0001	41.8
130	32912	0.0001	38.9
53	13795	0.0001	39.1
149	17141	0.0003	35.5
0	28739	0.0000	inf
0	37717	0.0000	inf
30	33726	0.0000	45.4
0	23212	0.0000	inf
0	76407	0.0000	inf
60	49372	0.0000	44.1
0	35958	0.0000	inf
0	32956	0.0000	inf
56	48472	0.0000	44.3
56	18026	0.0001	40.0
113	62960	0.0001	42.4
30	69427	0.0000	48.6
49	13011	0.0001	39.1
104	25623	0.0001	38.8
28	80857	0.0000	49.5
70	65367	0.0000	44.6
0	15451	0.0000	inf
54	59711	0.0000	45.3
30	35254	0.0000	45.6
71	21540	0.0001	39.7
5	43698	0.0000	54.3
60	76049	0.0000	45.9
29	5212	0.0002	37.4
0	22455	0.0000	inf
54	20252	0.0001	40.6
60	19221	0.0001	40.0
39	53928	0.0000	46.3
27	22691	0.0000	44.2
91	60803	0.0000	43.2
28	10531	0.0001	40.7
30	23142	0.0000	43.8
0	29547	0.0000	inf
0	14768	0.0000	inf
0	19740	0.0000	inf
81	42866	0.0001	42.1
70	13532	0.0002	37.8
0	30246	0.0000	inf
59	43121	0.0000	43.5
0	16354	0.0000	inf
30	89528	0.0000	49.7
59	15836	0.0001	39.2
149	78541	0.0001	42.1
0	25269	0.0000	inf
30	28979	0.0000	44.8
0	34238	0.0000	inf
0	23882	0.0000	inf
58	57041	0.0000	44.8
78	28954	0.0001	40.6
53	8008	0.0002	36.7
0	28444	0.0000	inf
30	40928	0.0000	46.3
0	25022	0.0000	inf
29	31928	0.0000	45.3
54	31500	0.0001	42.6
57	45838	0.0000	44.0
57	46504	0.0000	44.0
81	12593	0.0002	36.8
89	10781	0.0003	35.7
60	22076	0.0001	40.6
25	25455	0.0000	45.0
30	28320	0.0000	44.7
52	30655	0.0001	42.6
29	32982	0.0000	45.5
153	48074	0.0001	39.9
26	5701	0.0001	38.3
26	4383	0.0002	37.2
30	125046	0.0000	51.1
30	19340	0.0001	43.0
0	71065	0.0000	inf
61	32893	0.0001	42.2
83	25425	0.0001	39.8
30	47508	0.0000	46.9
57	79311	0.0000	46.3
53	7252	0.0002	36.3
90	52224	0.0001	42.5
0	21008	0.0000	inf
0	18341	0.0000	inf
27	27878	0.0000	45.1
58	51423	0.0000	44.4
109	28621	0.0001	39.1
0	38360	0.0000	inf
29	57104	0.0000	47.9
60	75229	0.0000	45.9
0	38122	0.0000	inf
30	77629	0.0000	49.0
0	6303	0.0000	inf
83	47751	0.0001	42.5
30	61417	0.0000	48.0
59	55982	0.0000	44.7
60	44283	0.0000	43.6
104	40802	0.0001	40.8
30	16047	0.0001	42.2
0	19054	0.0000	inf
60	55267	0.0000	44.6
0	4976	0.0000	inf
59	103640	0.0000	47.4
0	27899	0.0000	inf
0	58855	0.0000	inf
57	58674	0.0000	45.0
30	62506	0.0000	48.1
125	34965	0.0001	39.4
90	59529	0.0000	43.1
29	45128	0.0000	46.8
0	28301	0.0000	inf
30	43865	0.0000	46.6
82	10210	0.0003	35.8
0	22049	0.0000	inf
17	55354	0.0000	50.0
83	51185	0.0001	42.8
0	53238	0.0000	inf
48	38892	0.0000	44.0
0	51771	0.0000	inf
57	56054	0.0000	44.8
0	21766	0.0000	inf
0	65503	0.0000	inf
0	23565	0.0000	inf
0	18213	0.0000	inf
99	70017	0.0000	43.4
29	61242	0.0000	48.2
0	29104	0.0000	inf
26	13033	0.0001	41.9
9	5020	0.0001	42.4
29	25604	0.0000	44.4
29	20505	0.0000	43.4
0	39021	0.0000	inf
59	49158	0.0000	44.1
60	48441	0.0000	44.0
30	22748	0.0000	43.7
30	53063	0.0000	47.4
80	9848	0.0003	35.8
0	8373	0.0000	inf
0	29111	0.0000	inf
29	31880	0.0000	45.3
60	64348	0.0000	45.2
6	25160	0.0000	51.1
0	17225	0.0000	inf
55	15691	0.0001	39.5
51	26085	0.0001	42.0
0	207753	0.0000	inf
16	40795	0.0000	49.0
7	20430	0.0000	49.6
0	66708	0.0000	inf
28	40768	0.0000	46.5
149	63072	0.0001	41.2
97	29466	0.0001	39.7
80	13570	0.0002	37.2
